age,education,marital.status,relationship,race,sex,hoursperweek,nativecountry,income
47,Bachelors,Never-married,Not-in-family,White,Male,60,United-States,<=50K
33,Doctorate,Married-civ-spouse,Husband,White,Male,55,United-States,>50K
66,7th-8th,Never-married,Other-relative,Black,Male,30,United-States,<=50K
20,Some-college,Never-married,Own-child,White,Female,30,,<=50K
28,HS-grad,Divorced,Not-in-family,White,Male,40,United-States,<=50K
46,HS-grad,Divorced,Unmarried,White,Female,28,Ecuador,<=50K
25,Some-college,Married-civ-spouse,Husband,Black,Male,45,United-States,<=50K
37,HS-grad,Married-civ-spouse,Own-child,White,Male,40,United-States,<=50K
31,9th,Married-civ-spouse,Husband,White,Male,60,United-States,<=50K
49,HS-grad,Married-civ-spouse,Husband,White,Male,40,United-States,<=50K
22,Some-college,Married-spouse-absent,Unmarried,White,Male,20,United-States,<=50K
52,Assoc-voc,Married-civ-spouse,Wife,White,Female,20,United-States,>50K
29,Assoc-acdm,Married-civ-spouse,Wife,White,Female,50,United-States,<=50K
18,11th,Never-married,Own-child,White,Female,20,United-States,<=50K
31,Some-college,Married-civ-spouse,Husband,White,Male,35,United-States,<=50K
23,Some-college,Never-married,Not-in-family,Asian-Pac-Islander,Female,35,Vietnam,<=50K
27,Assoc-voc,Married-civ-spouse,Wife,Amer-Indian-Eskimo,Female,40,United-States,>50K
54,10th,Married-civ-spouse,Husband,White,Male,65,United-States,<=50K
50,HS-grad,Divorced,Unmarried,White,Female,49,Dominican-Republic,<=50K
46,Masters,Married-civ-spouse,Husband,White,Male,40,,>50K
24,Bachelors,Never-married,Own-child,White,Female,40,United-States,<=50K
17,11th,Never-married,Own-child,White,Female,18,United-States,<=50K
49,HS-grad,Separated,Not-in-family,White,Male,45,United-States,<=50K
54,HS-grad,Married-civ-spouse,Husband,White,Male,40,United-States,>50K
41,Bachelors,Married-civ-spouse,Husband,White,Male,60,United-States,>50K
49,HS-grad,Married-civ-spouse,Husband,White,Male,40,United-States,<=50K
36,Bachelors,Never-married,Not-in-family,White,Female,35,United-States,<=50K
23,HS-grad,Never-married,Own-child,Black,Male,40,Haiti,<=50K
63,Some-college,Widowed,Not-in-family,White,Female,40,United-States,<=50K
67,HS-grad,Married-civ-spouse,Husband,White,Male,40,Canada,>50K
23,HS-grad,Never-married,Not-in-family,White,Male,40,United-States,<=50K
22,Bachelors,Never-married,Own-child,White,Male,40,United-States,<=50K
66,Assoc-voc,Married-civ-spouse,Husband,White,Male,30,United-States,<=50K
25,11th,Married-civ-spouse,Husband,White,Male,50,United-States,<=50K
30,Some-college,Divorced,Unmarried,White,Female,20,United-States,<=50K
35,HS-grad,Married-civ-spouse,Husband,White,Male,40,United-States,<=50K
67,7th-8th,Married-civ-spouse,Husband,White,Male,40,United-States,<=50K
30,12th,Never-married,Not-in-family,Black,Male,40,United-States,<=50K
26,Some-college,Never-married,Not-in-family,Black,Female,38,United-States,<=50K
34,HS-grad,Married-civ-spouse,Husband,White,Male,40,United-States,<=50K
21,Some-college,Never-married,Own-child,White,Male,40,United-States,<=50K
18,12th,Never-married,Own-child,White,Male,10,United-States,<=50K
21,HS-grad,Never-married,Not-in-family,White,Male,40,United-States,<=50K
76,9th,Married-civ-spouse,Husband,White,Male,40,United-States,<=50K
51,Some-college,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,70,,<=50K
26,HS-grad,Married-civ-spouse,Wife,White,Female,56,United-States,<=50K
18,12th,Never-married,Not-in-family,White,Female,25,United-States,<=50K
18,11th,Never-married,Own-child,White,Male,40,United-States,<=50K
34,Assoc-voc,Married-civ-spouse,Husband,White,Male,50,United-States,<=50K
59,HS-grad,Divorced,Not-in-family,White,Female,40,United-States,<=50K
55,Bachelors,Separated,Not-in-family,White,Male,45,United-States,>50K
33,Some-college,Never-married,Not-in-family,White,Male,72,United-States,<=50K
25,HS-grad,Never-married,Own-child,White,Female,10,United-States,<=50K
48,HS-grad,Widowed,Not-in-family,White,Female,10,United-States,<=50K
64,Bachelors,Divorced,Not-in-family,White,Female,5,United-States,<=50K
47,Masters,Never-married,Not-in-family,White,Female,45,United-States,>50K
26,Some-college,Never-married,Own-child,White,Female,40,United-States,<=50K
36,Assoc-acdm,Married-civ-spouse,Husband,White,Male,48,United-States,>50K
21,HS-grad,Married-civ-spouse,Husband,White,Male,40,United-States,<=50K
54,7th-8th,Never-married,Not-in-family,White,Female,25,United-States,<=50K
30,HS-grad,Never-married,Own-child,White,Male,44,United-States,<=50K
41,HS-grad,Divorced,Not-in-family,White,Male,40,United-States,<=50K
53,Masters,Never-married,Not-in-family,White,Female,35,United-States,>50K
34,Some-college,Never-married,Other-relative,Black,Male,30,United-States,<=50K
20,Some-college,Never-married,Own-child,White,Female,35,United-States,<=50K
24,10th,Never-married,Not-in-family,White,Male,49,El-Salvador,<=50K
26,Bachelors,Never-married,Not-in-family,White,Female,20,United-States,<=50K
25,HS-grad,Never-married,Not-in-family,White,Female,48,United-States,<=50K
35,Some-college,Divorced,Unmarried,White,Female,36,United-States,<=50K
41,Some-college,Divorced,Not-in-family,White,Male,40,United-States,>50K
33,11th,Never-married,Own-child,White,Male,40,United-States,<=50K
18,Some-college,Never-married,Own-child,White,Female,25,United-States,<=50K
27,HS-grad,Separated,Not-in-family,White,Male,38,United-States,<=50K
32,HS-grad,Divorced,Unmarried,White,Female,35,United-States,<=50K
51,HS-grad,Never-married,Not-in-family,Black,Male,40,United-States,<=50K
38,Assoc-voc,Divorced,Unmarried,Black,Female,40,United-States,<=50K
41,Some-college,Married-civ-spouse,Wife,White,Female,25,United-States,<=50K
26,Some-college,Married-civ-spouse,Husband,White,Male,40,United-States,<=50K
38,Assoc-voc,Divorced,Unmarried,White,Male,35,United-States,<=50K
54,9th,Married-civ-spouse,Husband,White,Male,45,United-States,>50K
30,Bachelors,Never-married,Not-in-family,White,Female,60,Outlying-US(Guam-USVI-etc),<=50K
31,Some-college,Widowed,Unmarried,White,Female,30,United-States,<=50K
26,Bachelors,Never-married,Not-in-family,White,Male,40,United-States,<=50K
75,Doctorate,Married-civ-spouse,Husband,White,Male,3,United-States,<=50K
29,Masters,Never-married,Own-child,Black,Male,40,United-States,<=50K
61,HS-grad,Married-civ-spouse,Husband,White,Male,50,United-States,>50K
24,Some-college,Separated,Unmarried,White,Female,45,United-States,<=50K
22,12th,Never-married,Not-in-family,White,Male,30,United-States,<=50K
34,Assoc-acdm,Never-married,Not-in-family,White,Male,40,United-States,<=50K
42,Some-college,Divorced,Own-child,White,Male,40,United-States,<=50K
24,11th,Never-married,Not-in-family,White,Male,40,United-States,<=50K
42,Assoc-acdm,Married-civ-spouse,Husband,White,Male,40,,<=50K
27,HS-grad,Never-married,Not-in-family,Black,Male,40,United-States,<=50K
39,Bachelors,Married-civ-spouse,Wife,White,Female,50,United-States,>50K
20,HS-grad,Never-married,Own-child,White,Male,40,United-States,<=50K
51,11th,Never-married,Not-in-family,Black,Female,40,United-States,<=50K
68,Bachelors,Married-civ-spouse,Husband,White,Male,30,United-States,<=50K
28,HS-grad,Never-married,Own-child,White,Male,48,United-States,<=50K
43,HS-grad,Divorced,Not-in-family,White,Female,40,United-States,<=50K
35,Some-college,Married-spouse-absent,Not-in-family,White,Male,40,United-States,<=50K
44,HS-grad,Divorced,Unmarried,Black,Female,40,United-States,<=50K
41,Bachelors,Never-married,Not-in-family,White,Male,40,United-States,<=50K
44,HS-grad,Married-civ-spouse,Husband,White,Male,45,United-States,>50K
20,HS-grad,Married-civ-spouse,Other-relative,White,Female,40,United-States,<=50K
46,HS-grad,Married-civ-spouse,Husband,White,Male,75,United-States,>50K
27,Assoc-acdm,Married-civ-spouse,Husband,White,Male,70,United-States,>50K
32,Some-college,Never-married,Not-in-family,White,Male,50,United-States,<=50K
46,Some-college,Divorced,Not-in-family,White,Male,50,United-States,<=50K
26,HS-grad,Never-married,Not-in-family,White,Male,24,United-States,<=50K
20,Some-college,Never-married,Own-child,Asian-Pac-Islander,Female,40,Vietnam,<=50K
36,HS-grad,Married-civ-spouse,Wife,White,Female,40,United-States,<=50K
49,Bachelors,Married-civ-spouse,Husband,White,Male,40,United-States,>50K
32,HS-grad,Married-civ-spouse,Husband,White,Male,55,United-States,>50K
32,Bachelors,Married-civ-spouse,Husband,White,Male,50,United-States,>50K
49,Bachelors,Married-civ-spouse,Husband,White,Male,40,United-States,>50K
36,HS-grad,Never-married,Not-in-family,White,Male,45,United-States,<=50K
22,Some-college,Never-married,Other-relative,White,Male,25,United-States,<=50K
52,HS-grad,Divorced,Not-in-family,White,Female,40,United-States,<=50K
42,HS-grad,Married-civ-spouse,Husband,White,Male,50,United-States,>50K
22,Some-college,Never-married,Own-child,White,Male,40,United-States,<=50K
72,HS-grad,Widowed,Unmarried,White,Female,16,United-States,<=50K
30,Bachelors,Separated,Not-in-family,White,Female,40,United-States,<=50K
44,Some-college,Married-civ-spouse,Husband,White,Male,40,United-States,<=50K
23,Bachelors,Never-married,Not-in-family,White,Female,45,United-States,<=50K
22,Some-college,Never-married,Own-child,White,Male,20,United-States,<=50K
59,Bachelors,Separated,Unmarried,White,Male,60,United-States,<=50K
46,HS-grad,Divorced,Unmarried,White,Female,40,United-States,<=50K
30,Assoc-voc,Married-civ-spouse,Husband,White,Male,40,Mexico,<=50K
64,7th-8th,Widowed,Unmarried,White,Female,30,Puerto-Rico,<=50K
31,Some-college,Married-civ-spouse,Wife,Black,Female,40,United-States,<=50K
64,HS-grad,Married-civ-spouse,Husband,White,Male,20,United-States,<=50K
45,HS-grad,Never-married,Own-child,White,Female,40,United-States,<=50K
59,HS-grad,Married-civ-spouse,Husband,White,Male,40,United-States,>50K
32,HS-grad,Never-married,Other-relative,Black,Female,40,Jamaica,<=50K
43,Bachelors,Married-civ-spouse,Husband,Amer-Indian-Eskimo,Male,40,United-States,<=50K
66,10th,Divorced,Not-in-family,White,Female,20,United-States,<=50K
23,Some-college,Never-married,Not-in-family,White,Male,45,United-States,<=50K
49,HS-grad,Married-civ-spouse,Husband,White,Male,40,United-States,<=50K
32,12th,Married-civ-spouse,Husband,White,Male,40,Mexico,<=50K
49,Assoc-voc,Never-married,Unmarried,White,Female,40,United-States,<=50K
33,Some-college,Divorced,Not-in-family,White,Male,40,United-States,<=50K
28,Prof-school,Never-married,Not-in-family,White,Female,85,United-States,<=50K
47,HS-grad,Married-civ-spouse,Husband,Black,Male,40,United-States,<=50K
41,HS-grad,Never-married,Own-child,White,Male,40,United-States,<=50K
34,Masters,Married-civ-spouse,Husband,White,Male,40,United-States,>50K
25,HS-grad,Never-married,Not-in-family,White,Female,35,United-States,<=50K
20,Some-college,Never-married,Own-child,White,Female,40,United-States,<=50K
21,Some-college,Never-married,Not-in-family,White,Female,15,United-States,<=50K
25,HS-grad,Never-married,Unmarried,White,Male,30,,<=50K
46,9th,Married-civ-spouse,Husband,White,Male,40,United-States,<=50K
37,1st-4th,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,40,Cambodia,<=50K
41,Some-college,Married-civ-spouse,Husband,White,Male,56,United-States,>50K
44,HS-grad,Never-married,Own-child,White,Male,50,United-States,<=50K
30,HS-grad,Married-civ-spouse,Husband,White,Male,40,United-States,>50K
54,Some-college,Married-civ-spouse,Husband,White,Male,40,United-States,<=50K
35,HS-grad,Married-civ-spouse,Husband,White,Male,99,United-States,<=50K
58,HS-grad,Widowed,Not-in-family,White,Female,12,United-States,<=50K
21,Some-college,Never-married,Own-child,White,Female,25,Ecuador,<=50K
35,Masters,Married-civ-spouse,Husband,White,Male,40,United-States,>50K
35,Prof-school,Married-civ-spouse,Husband,White,Male,80,United-States,>50K
19,Some-college,Never-married,Own-child,White,Male,20,United-States,<=50K
48,HS-grad,Divorced,Not-in-family,White,Female,40,United-States,<=50K
56,Some-college,Married-civ-spouse,Husband,White,Male,40,Nicaragua,<=50K
65,Some-college,Widowed,Not-in-family,White,Female,35,United-States,<=50K
40,Bachelors,Separated,Unmarried,Black,Male,35,United-States,<=50K
26,HS-grad,Never-married,Not-in-family,White,Female,40,United-States,<=50K
45,Some-college,Married-civ-spouse,Husband,White,Male,40,United-States,<=50K
26,Some-college,Never-married,Own-child,White,Male,40,United-States,<=50K
32,HS-grad,Married-civ-spouse,Husband,White,Male,40,United-States,<=50K
35,Bachelors,Divorced,Not-in-family,White,Male,50,United-States,>50K
22,Some-college,Never-married,Not-in-family,White,Male,48,United-States,<=50K
37,Assoc-voc,Separated,Own-child,White,Female,38,United-States,<=50K
25,Bachelors,Never-married,Not-in-family,White,Male,40,Mexico,<=50K
64,1st-4th,Married-civ-spouse,Husband,White,Male,53,,<=50K
46,Assoc-voc,Married-civ-spouse,Husband,White,Male,48,United-States,>50K
30,HS-grad,Never-married,Own-child,White,Male,27,United-States,<=50K
63,Assoc-acdm,Divorced,Not-in-family,White,Male,40,United-States,>50K
51,HS-grad,Married-civ-spouse,Husband,White,Male,40,United-States,>50K
68,7th-8th,Married-civ-spouse,Husband,White,Male,16,United-States,<=50K
36,Doctorate,Married-civ-spouse,Husband,White,Male,50,Canada,<=50K
28,Some-college,Never-married,Not-in-family,White,Male,50,United-States,<=50K
41,Some-college,Married-civ-spouse,Husband,White,Male,40,United-States,<=50K
47,Some-college,Married-civ-spouse,Husband,White,Male,40,United-States,<=50K
22,Some-college,Never-married,Unmarried,Black,Female,30,United-States,<=50K
33,Bachelors,Never-married,Own-child,Asian-Pac-Islander,Male,80,Philippines,<=50K
34,Prof-school,Married-civ-spouse,Husband,White,Male,40,United-States,>50K
46,Bachelors,Married-civ-spouse,Husband,White,Male,40,United-States,>50K
28,Some-college,Married-spouse-absent,Own-child,White,Female,40,United-States,<=50K
36,HS-grad,Married-civ-spouse,Husband,White,Male,52,United-States,>50K
18,Some-college,Never-married,Own-child,White,Female,20,United-States,<=50K
33,Masters,Married-civ-spouse,Husband,White,Male,50,United-States,>50K
51,HS-grad,Married-civ-spouse,Husband,White,Male,60,United-States,>50K
56,HS-grad,Married-civ-spouse,Husband,White,Male,35,United-States,<=50K
54,HS-grad,Never-married,Unmarried,White,Female,40,United-States,<=50K
29,HS-grad,Never-married,Unmarried,Black,Female,40,United-States,<=50K
40,Some-college,Divorced,Not-in-family,Amer-Indian-Eskimo,Female,84,United-States,<=50K
53,Masters,Married-civ-spouse,Husband,White,Male,65,United-States,>50K
22,HS-grad,Never-married,Own-child,White,Male,35,United-States,<=50K
33,HS-grad,Married-civ-spouse,Husband,White,Male,40,United-States,>50K
28,HS-grad,Divorced,Not-in-family,White,Male,50,United-States,<=50K
63,Some-college,Married-civ-spouse,Wife,White,Female,12,United-States,<=50K
53,Doctorate,Married-civ-spouse,Husband,White,Male,60,Germany,>50K
37,10th,Married-civ-spouse,Husband,White,Male,50,United-States,<=50K
50,Some-college,Divorced,Unmarried,White,Male,40,United-States,<=50K
22,HS-grad,Never-married,Own-child,White,Male,40,United-States,<=50K
40,Assoc-acdm,Never-married,Not-in-family,White,Female,40,United-States,<=50K
22,Bachelors,Never-married,Not-in-family,White,Female,40,United-States,>50K
21,Some-college,Never-married,Own-child,White,Male,40,United-States,<=50K
25,Assoc-acdm,Married-civ-spouse,Husband,Black,Male,40,Jamaica,<=50K
20,Some-college,Never-married,Not-in-family,White,Female,40,United-States,<=50K
43,HS-grad,Married-civ-spouse,Husband,White,Male,40,United-States,<=50K
29,Assoc-voc,Never-married,Unmarried,White,Female,50,United-States,<=50K
32,Bachelors,Married-civ-spouse,Husband,White,Male,40,United-States,>50K
42,Masters,Married-civ-spouse,Husband,White,Male,50,United-States,>50K
33,HS-grad,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,40,South,<=50K
27,Some-college,Married-civ-spouse,Wife,White,Female,40,United-States,>50K
22,Some-college,Never-married,Own-child,White,Female,40,Iran,<=50K
29,Some-college,Married-civ-spouse,Husband,White,Male,38,United-States,<=50K
29,HS-grad,Married-civ-spouse,Husband,White,Male,40,United-States,<=50K
20,Some-college,Never-married,Own-child,White,Female,20,United-States,<=50K
35,10th,Never-married,Own-child,White,Male,40,United-States,<=50K
31,Bachelors,Married-civ-spouse,Husband,White,Male,50,Puerto-Rico,>50K
33,HS-grad,Never-married,Not-in-family,White,Male,50,United-States,<=50K
67,Some-college,Married-civ-spouse,Husband,White,Male,40,United-States,<=50K
46,Some-college,Married-civ-spouse,Husband,White,Male,10,United-States,<=50K
45,9th,Married-civ-spouse,Wife,White,Female,40,United-States,>50K
17,11th,Never-married,Own-child,White,Male,20,United-States,<=50K
35,Bachelors,Married-civ-spouse,Husband,White,Male,70,United-States,>50K
48,Bachelors,Married-spouse-absent,Not-in-family,Black,Male,40,Jamaica,>50K
49,HS-grad,Divorced,Not-in-family,Black,Female,40,United-States,<=50K
20,Some-college,Never-married,Other-relative,White,Female,40,United-States,<=50K
27,HS-grad,Married-civ-spouse,Husband,White,Male,46,Canada,<=50K
64,Some-college,Married-civ-spouse,Husband,White,Male,20,United-States,<=50K
53,Some-college,Separated,Not-in-family,Black,Male,40,United-States,<=50K
52,HS-grad,Divorced,Not-in-family,White,Female,40,United-States,<=50K
29,HS-grad,Married-civ-spouse,Husband,White,Male,55,United-States,<=50K
32,HS-grad,Married-civ-spouse,Husband,White,Male,40,United-States,>50K
48,Bachelors,Married-civ-spouse,Wife,White,Female,20,United-States,>50K
30,Some-college,Never-married,Other-relative,White,Male,40,Mexico,<=50K
34,HS-grad,Married-civ-spouse,Husband,White,Male,20,United-States,<=50K
19,Some-college,Never-married,Own-child,White,Male,50,United-States,<=50K
39,HS-grad,Never-married,Not-in-family,White,Male,50,United-States,<=50K
28,11th,Never-married,Other-relative,White,Male,40,United-States,<=50K
17,12th,Never-married,Not-in-family,White,Female,10,,<=50K
54,Bachelors,Never-married,Not-in-family,White,Female,50,United-States,<=50K
24,Some-college,Never-married,Own-child,White,Male,40,United-States,<=50K
25,HS-grad,Never-married,Own-child,White,Female,40,United-States,<=50K
25,11th,Divorced,Unmarried,White,Female,12,United-States,<=50K
48,Some-college,Married-civ-spouse,Wife,White,Female,40,United-States,>50K
24,Bachelors,Never-married,Own-child,White,Female,40,United-States,<=50K
31,Some-college,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,50,Taiwan,<=50K
47,Some-college,Married-civ-spouse,Husband,White,Male,40,United-States,>50K
45,Bachelors,Married-civ-spouse,Husband,White,Male,40,,>50K
19,Some-college,Never-married,Own-child,White,Female,25,United-States,<=50K
52,Some-college,Married-civ-spouse,Husband,White,Male,50,United-States,>50K
52,HS-grad,Married-civ-spouse,Husband,White,Male,40,United-States,<=50K
19,HS-grad,Never-married,Other-relative,Asian-Pac-Islander,Female,12,South,<=50K
60,HS-grad,Married-civ-spouse,Husband,White,Male,28,United-States,<=50K
43,Masters,Married-civ-spouse,Husband,White,Male,50,United-States,>50K
24,Assoc-acdm,Divorced,Own-child,White,Female,30,United-States,<=50K
20,Some-college,Never-married,Own-child,White,Female,40,United-States,<=50K
51,HS-grad,Never-married,Not-in-family,White,Female,40,United-States,<=50K
38,9th,Divorced,Not-in-family,White,Male,40,United-States,<=50K
21,Some-college,Never-married,Own-child,White,Female,10,United-States,<=50K
40,HS-grad,Married-civ-spouse,Husband,White,Male,50,United-States,>50K
54,Some-college,Widowed,Unmarried,White,Female,40,United-States,<=50K
35,Bachelors,Never-married,Other-relative,White,Male,50,United-States,<=50K
52,11th,Separated,Unmarried,Black,Male,40,United-States,<=50K
53,HS-grad,Married-civ-spouse,Husband,White,Male,40,United-States,>50K
56,Some-college,Widowed,Not-in-family,Black,Female,40,United-States,<=50K
35,HS-grad,Divorced,Unmarried,Black,Male,40,United-States,<=50K
43,Some-college,Divorced,Unmarried,White,Female,42,United-States,<=50K
29,Bachelors,Married-civ-spouse,Husband,White,Male,40,Canada,<=50K
29,HS-grad,Married-civ-spouse,Husband,Amer-Indian-Eskimo,Male,65,United-States,<=50K
27,HS-grad,Never-married,Not-in-family,White,Female,40,United-States,<=50K
58,Bachelors,Married-civ-spouse,Husband,White,Male,40,Mexico,<=50K
64,HS-grad,Married-civ-spouse,Husband,White,Male,18,United-States,<=50K
53,HS-grad,Married-civ-spouse,Wife,Black,Female,32,United-States,<=50K
21,HS-grad,Never-married,Not-in-family,White,Female,30,United-States,<=50K
40,Assoc-acdm,Divorced,Not-in-family,White,Male,30,United-States,<=50K
52,Doctorate,Married-civ-spouse,Husband,White,Male,40,Iran,>50K
38,Assoc-voc,Never-married,Not-in-family,White,Male,50,United-States,<=50K
40,Some-college,Divorced,Not-in-family,White,Female,30,United-States,<=50K
39,HS-grad,Married-civ-spouse,Husband,White,Male,40,United-States,<=50K
56,Masters,Never-married,Not-in-family,White,Female,50,United-States,>50K
68,Doctorate,Married-civ-spouse,Husband,White,Male,55,United-States,>50K
24,HS-grad,Never-married,Not-in-family,White,Male,38,United-States,<=50K
40,Prof-school,Married-civ-spouse,Husband,White,Male,50,United-States,>50K
43,Prof-school,Married-civ-spouse,Husband,Black,Male,99,United-States,>50K
38,Bachelors,Never-married,Not-in-family,White,Female,70,United-States,<=50K
45,HS-grad,Married-civ-spouse,Husband,White,Male,40,United-States,>50K
18,11th,Never-married,Own-child,White,Male,55,United-States,<=50K
57,Masters,Married-civ-spouse,Husband,White,Male,50,United-States,>50K
49,HS-grad,Separated,Not-in-family,Black,Female,35,United-States,<=50K
25,Some-college,Never-married,Own-child,White,Female,40,Yugoslavia,<=50K
52,Some-college,Divorced,Not-in-family,White,Male,40,United-States,<=50K
56,10th,Divorced,Not-in-family,White,Male,56,United-States,<=50K
26,Some-college,Never-married,Not-in-family,White,Male,48,United-States,<=50K
19,HS-grad,Never-married,Not-in-family,White,Female,40,United-States,<=50K
25,Bachelors,Never-married,Own-child,Asian-Pac-Islander,Female,40,United-States,<=50K
25,HS-grad,Married-civ-spouse,Wife,White,Female,30,United-States,<=50K
21,HS-grad,Never-married,Other-relative,White,Male,45,United-States,<=50K
48,7th-8th,Married-civ-spouse,Husband,White,Male,40,Italy,<=50K
33,Masters,Married-civ-spouse,Husband,White,Male,60,Canada,<=50K
31,HS-grad,Divorced,Own-child,Other,Male,40,United-States,<=50K
26,HS-grad,Divorced,Unmarried,White,Male,65,United-States,<=50K
37,Bachelors,Never-married,Not-in-family,White,Male,38,United-States,<=50K
29,Some-college,Divorced,Unmarried,White,Female,30,United-States,<=50K
20,Some-college,Never-married,Own-child,White,Male,20,United-States,<=50K
28,Some-college,Married-civ-spouse,Husband,Other,Male,60,,<=50K
49,HS-grad,Widowed,Unmarried,White,Female,20,United-States,<=50K
73,10th,Never-married,Not-in-family,White,Male,4,United-States,<=50K
49,Masters,Married-civ-spouse,Husband,White,Male,40,United-States,>50K
51,Some-college,Married-civ-spouse,Wife,White,Female,40,United-States,>50K
40,Some-college,Married-civ-spouse,Husband,White,Male,40,United-States,<=50K
24,Assoc-voc,Never-married,Own-child,White,Female,40,United-States,<=50K
18,12th,Never-married,Own-child,White,Male,24,United-States,<=50K
41,10th,Married-civ-spouse,Husband,Black,Male,40,United-States,>50K
46,HS-grad,Married-civ-spouse,Husband,White,Male,40,United-States,>50K
46,HS-grad,Married-civ-spouse,Wife,White,Female,40,United-States,<=50K
64,10th,Married-civ-spouse,Husband,White,Male,40,United-States,>50K
50,Prof-school,Married-civ-spouse,Husband,White,Male,40,United-States,>50K
53,Masters,Married-civ-spouse,Husband,White,Male,36,United-States,>50K
21,HS-grad,Never-married,Not-in-family,White,Male,40,United-States,<=50K
22,Some-college,Married-civ-spouse,Husband,White,Male,25,United-States,<=50K
37,Bachelors,Divorced,Unmarried,White,Female,45,United-States,>50K
39,Prof-school,Never-married,Not-in-family,White,Male,55,United-States,>50K
30,Bachelors,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,40,India,<=50K
25,Bachelors,Never-married,Not-in-family,White,Male,40,United-States,<=50K
26,Some-college,Never-married,Unmarried,Black,Female,40,United-States,<=50K
43,Bachelors,Never-married,Not-in-family,White,Male,50,United-States,<=50K
59,HS-grad,Widowed,Unmarried,White,Female,60,United-States,<=50K
27,HS-grad,Married-spouse-absent,Unmarried,White,Female,40,Jamaica,<=50K
55,10th,Married-civ-spouse,Husband,Black,Male,40,United-States,>50K
20,Some-college,Never-married,Own-child,White,Male,12,Canada,<=50K
25,Assoc-voc,Never-married,Not-in-family,White,Female,36,Canada,<=50K
28,Assoc-acdm,Separated,Not-in-family,White,Male,40,United-States,<=50K
29,Bachelors,Never-married,Not-in-family,White,Male,50,United-States,<=50K
60,11th,Married-civ-spouse,Husband,White,Male,40,United-States,>50K
37,Bachelors,Married-civ-spouse,Wife,White,Female,50,United-States,>50K
25,11th,Divorced,Own-child,White,Female,40,United-States,<=50K
27,Some-college,Married-civ-spouse,Husband,White,Male,60,United-States,<=50K
50,Bachelors,Married-civ-spouse,Husband,White,Male,40,United-States,>50K
41,Some-college,Married-civ-spouse,Husband,White,Male,70,United-States,<=50K
46,7th-8th,Married-civ-spouse,Husband,White,Male,47,United-States,<=50K
35,Assoc-voc,Divorced,Unmarried,Black,Female,40,United-States,<=50K
21,Some-college,Never-married,Own-child,White,Male,40,United-States,<=50K
35,11th,Separated,Not-in-family,White,Female,60,United-States,<=50K
40,HS-grad,Never-married,Not-in-family,Black,Male,40,United-States,<=50K
49,Bachelors,Married-civ-spouse,Husband,White,Male,40,United-States,>50K
29,Bachelors,Never-married,Not-in-family,White,Female,50,United-States,<=50K
43,Bachelors,Divorced,Unmarried,White,Female,40,United-States,<=50K
39,Assoc-acdm,Never-married,Not-in-family,Black,Male,60,United-States,<=50K
35,HS-grad,Never-married,Own-child,White,Male,60,United-States,<=50K
52,Some-college,Married-civ-spouse,Husband,White,Male,40,United-States,<=50K
25,Some-college,Never-married,Not-in-family,Black,Male,40,Outlying-US(Guam-USVI-etc),<=50K
20,HS-grad,Never-married,Own-child,White,Female,30,United-States,<=50K
46,Some-college,Divorced,Unmarried,White,Female,10,,<=50K
24,Bachelors,Never-married,Not-in-family,White,Male,40,United-States,<=50K
29,Bachelors,Married-civ-spouse,Other-relative,Asian-Pac-Islander,Male,30,India,<=50K
21,Some-college,Never-married,Own-child,White,Male,40,United-States,<=50K
37,Bachelors,Divorced,Other-relative,White,Female,50,United-States,<=50K
43,HS-grad,Never-married,Own-child,White,Male,40,United-States,<=50K
19,HS-grad,Never-married,Not-in-family,White,Female,26,United-States,<=50K
47,HS-grad,Married-civ-spouse,Husband,White,Male,45,United-States,<=50K
61,HS-grad,Married-civ-spouse,Husband,White,Male,45,United-States,>50K
21,Assoc-acdm,Never-married,Not-in-family,White,Male,55,United-States,<=50K
35,HS-grad,Married-civ-spouse,Husband,White,Male,60,United-States,<=50K
60,10th,Married-civ-spouse,Husband,Black,Male,40,United-States,<=50K
27,Some-college,Never-married,Not-in-family,White,Female,40,United-States,<=50K
57,Bachelors,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,35,India,<=50K
56,1st-4th,Married-civ-spouse,Husband,White,Male,40,United-States,<=50K
27,HS-grad,Never-married,Not-in-family,White,Female,40,United-States,<=50K
47,7th-8th,Married-civ-spouse,Wife,Black,Female,35,United-States,<=50K
19,HS-grad,Never-married,Not-in-family,White,Male,30,United-States,<=50K
28,12th,Divorced,Unmarried,White,Female,30,United-States,<=50K
43,10th,Married-civ-spouse,Husband,White,Male,40,United-States,<=50K
63,Some-college,Divorced,Not-in-family,White,Female,35,United-States,<=50K
22,Some-college,Never-married,Own-child,White,Male,40,United-States,<=50K
25,HS-grad,Divorced,Own-child,Asian-Pac-Islander,Female,40,Philippines,<=50K
35,HS-grad,Never-married,Own-child,White,Male,40,United-States,>50K
20,HS-grad,Never-married,Own-child,White,Female,40,United-States,<=50K
48,10th,Married-civ-spouse,Husband,White,Male,70,United-States,<=50K
30,Bachelors,Never-married,Not-in-family,Black,Female,40,Germany,<=50K
